head,kind,country,parent,color,grapes,tails,pronunciation,notes
nebbiolo,grape,Italy,Piedmont,Red,,spanna|chiavennasca|picotener|picotendro|nebiolo|nebbiollo,neb-bee-OH-loh,
barbera,grape,Italy,Piedmont,Red,,barberra|barbara,bar-BEH-rah,
dolcetto,grape,Italy,Piedmont,Red,,dolceto,dol-CHET-toh,
arneis,grape,Italy,Piedmont,White,,arnies,ar-NAYS,
cortese,grape,Italy,Piedmont,White,,,kor-TEH-zeh,
timorasso,grape,Italy,Piedmont,White,,,tee-moh-RAH-soh,
corvina,grape,Italy,Veneto,Red,,corvinone|corvina veronese,kor-VEE-nah,
glera,grape,Italy,Veneto,Sparkling,,prosecco tondo,GLEH-rah,
garganega,grape,Italy,Veneto,White,,grecanico|garganega di soave,gar-GAH-neh-gah,
vermentino,grape,Italy,Liguria,White,,pigato|favorita|rolle|vermentino di sardegna,ver-men-TEE-noh,
friulano,grape,Italy,Friuli,White,,tocai friulano|tocai|sauvignonasse|friulano tocai,free-oo-LAH-noh,
ribolla gialla,grape,Italy,Friuli,White,,ribolla|rebula|ribolla giala,ree-BOH-lah JAH-lah,
malvasia,grape,Italy,,White,,malvazija|malvasia istriana,mal-vah-ZEE-ah,
verdicchio,grape,Italy,Marche,White,,trebbiano di soave|verdichio,ver-DEE-kyoh,
trebbiano,grape,Italy,,White,,ugni blanc|procanico|trebiano,treb-bee-AH-noh,
sangiovese,grape,Italy,Tuscany,Red,,sangioveto|prugnolo gentile|morellino|nielluccio|sangiovesse|san giovese,san-joh-VEH-zeh,
canaiolo,grape,Italy,Tuscany,Red,,,kah-nah-YOH-loh,
sagrantino,grape,Italy,Umbria,Red,,,sah-gran-TEE-noh,
grechetto,grape,Italy,Umbria,White,,,greh-KET-toh,
montepulciano,grape,Italy,Abruzzo,Red,,montepulciano d abruzzo,mon-teh-pul-CHAH-noh,ambiguous with the Tuscan town of Montepulciano
pecorino,grape,Italy,Abruzzo,White,,,peh-koh-REE-noh,also a cheese; only trust inside wine text
passerina,grape,Italy,Marche,White,,,pas-seh-REE-nah,
aglianico,grape,Italy,Campania,Red,,agliannico,ah-LYAH-nee-koh,
fiano,grape,Italy,Campania,White,,,fee-AH-noh,
falanghina,grape,Italy,Campania,White,,falangina,fah-lan-GHEE-nah,
greco,grape,Italy,Campania,White,,greco di tufo,GREH-koh,
nerello mascalese,grape,Italy,Sicily,Red,,nerello|nerello cappuccio,neh-REL-loh mas-kah-LEH-zeh,
nero d avola,grape,Italy,Sicily,Red,,nero davola|nero d'avola|calabrese,NEH-roh DAH-voh-lah,
frappato,grape,Italy,Sicily,Red,,,frap-PAH-toh,
carricante,grape,Italy,Sicily,White,,,kar-ree-KAN-teh,
grillo,grape,Italy,Sicily,White,,,GREE-loh,
catarratto,grape,Italy,Sicily,White,,,kah-tar-RAT-toh,
cannonau,grape,Italy,Sardinia,Red,,,kan-noh-NOW,same grape as grenache
lagrein,grape,Italy,Alto Adige,Red,,,lah-GRINE,
teroldego,grape,Italy,Trentino,Red,,teroldego rotaliano,teh-ROL-deh-goh,
schiava,grape,Italy,Alto Adige,Red,,vernatsch|trollinger,ski-AH-vah,
primitivo,grape,Italy,Puglia,Red,,tribidrag|crljenak,pree-mee-TEE-voh,same grape as zinfandel
negroamaro,grape,Italy,Puglia,Red,,negro amaro,neh-groh-AH-mah-roh,
lambrusco,grape,Italy,Emilia,Red,,,lam-BROO-skoh,
moscato,grape,Italy,,White,,muscat|muscat blanc|moscatel|moscato d asti,mos-KAH-toh,
cabernet sauvignon,grape,France,Bordeaux,Red,,cab sauv|cabernet|cab|cabernet sauvingon|cab sav,ka-ber-NAY so-vee-NYOHN,
merlot,grape,France,Bordeaux,Red,,merlo,mer-LOH,
cabernet franc,grape,France,Loire,Red,,bouchet|breton|cab franc,ka-ber-NAY FRAHNK,
petit verdot,grape,France,Bordeaux,Red,,,peh-TEE ver-DOH,
malbec,grape,France,Cahors,Red,,cot|auxerrois|malbeck,mal-BEK,
carmenere,grape,France,Bordeaux,Red,,carmenère|carmenere,kar-men-YEHR,
semillon,grape,France,Bordeaux,White,,sémillon,seh-mee-YOHN,
sauvignon blanc,grape,France,Loire,White,,sauv blanc|savignon blanc|sauvignon blank,so-vee-NYOHN BLAHNK,
chardonnay,grape,France,Burgundy,White,,chard|chardonay|chardonnnay,shar-doh-NAY,
pinot noir,grape,France,Burgundy,Red,,pinot nero|spatburgunder|blauburgunder|pinot noire|pinot nior,PEE-noh NWAHR,
pinot grigio,grape,Italy,,White,,pinot gris|grauburgunder|rulander|pinot griggio,PEE-noh GREE-joh,
gamay,grape,France,Beaujolais,Red,,gamay noir,ga-MAY,
syrah,grape,France,Rhone,Red,,shiraz|serine|sirah,see-RAH,
grenache,grape,France,Rhone,Red,,garnacha|granacha|grenache noir,greh-NAHSH,
mourvedre,grape,France,Rhone,Red,,monastrell|mataro|mourvèdre,moor-VEHD,
carignan,grape,France,Languedoc,Red,,carinena|mazuelo|carignane,kah-ree-NYAHN,
cinsault,grape,France,Rhone,Red,,cinsaut,SAN-soh,
viognier,grape,France,Rhone,White,,vionnier|viogner,vee-oh-NYAY,
marsanne,grape,France,Rhone,White,,,mar-SAHN,
roussanne,grape,France,Rhone,White,,,roo-SAHN,
picpoul,grape,France,Languedoc,White,,piquepoul|picpoul de pinet,peek-POOL,
chenin blanc,grape,France,Loire,White,,steen|pineau de la loire,SHEN-an BLAHNK,
melon de bourgogne,grape,France,Loire,White,,muscadet grape,meh-LOHN duh boor-GOYN,
riesling,grape,Germany,Mosel,White,,rhine riesling|johannisberg riesling|reisling|rielsing,REES-ling,
gewurztraminer,grape,France,Alsace,White,,traminer|gewurtztraminer|gewürztraminer,geh-VURTS-trah-mee-ner,
sylvaner,grape,Germany,,White,,silvaner,sil-VAH-ner,
gruner veltliner,grape,Austria,Wachau,White,,gruner|grüner veltliner|gruener veltliner|gru ve,GROO-ner VELT-lee-ner,
blaufrankisch,grape,Austria,Burgenland,Red,,lemberger|kekfrankos|blaufränkisch,BLOW-fren-kish,
zweigelt,grape,Austria,,Red,,,TSVY-gelt,
furmint,grape,Hungary,Tokaj,White,,,FOOR-mint,
tempranillo,grape,Spain,Rioja,Red,,tinto fino|tinta del pais|tinta roriz|aragonez|tempranilo,tem-prah-NEE-yoh,
garnacha,grape,Spain,,Red,,,gar-NAH-chah,Spanish name for grenache
monastrell,grape,Spain,Jumilla,Red,,,moh-nah-STREL,
mencia,grape,Spain,Bierzo,Red,,mencía,men-THEE-ah,
albarino,grape,Spain,Rias Baixas,White,,alvarinho|albariño|albarino,al-bah-REE-nyoh,
verdejo,grape,Spain,Rueda,White,,,ver-DEH-hoh,
godello,grape,Spain,Valdeorras,White,,,goh-DEH-yoh,
palomino,grape,Spain,Jerez,White,,palomino fino,pah-loh-MEE-noh,
touriga nacional,grape,Portugal,Douro,Red,,touriga,too-REE-gah nah-syoh-NAHL,
alvarinho,grape,Portugal,Vinho Verde,White,,,al-vah-REE-nyoh,Portuguese name for albarino
assyrtiko,grape,Greece,Santorini,White,,asyrtiko|assyrtico,ah-SEER-tee-koh,
xinomavro,grape,Greece,Naoussa,Red,,,ksee-NOH-mah-vroh,
agiorgitiko,grape,Greece,Nemea,Red,,,ah-yor-YEE-tee-koh,
zinfandel,grape,USA,California,Red,,zin,ZIN-fan-del,
petite sirah,grape,USA,California,Red,,durif|petit sirah,peh-TEET see-RAH,
pinotage,grape,South Africa,,Red,,,PEE-noh-tahzh,
