head,body,acid,tannin,sweetness,alcohol,oak,texture,confidence,source,notes
chardonnay,3,3,1,1,3,2,still,med,default,varies more than any grape. prefer an appellation row when one exists
chablis,2,5,1,1,3,0,still,high,classic,the artichoke-safe chardonnay
puligny montrachet,4,4,1,1,3,3,still,high,classic,
meursault,4,3,1,1,4,3,still,high,classic,
chassagne montrachet,4,4,1,1,3,3,still,high,classic,
bourgogne,3,4,1,1,3,2,still,med,classic,
saint veran,3,4,1,1,3,1,still,high,classic,unoaked maconnais
maconnais,3,4,1,1,3,1,still,med,classic,
aligote,2,5,1,1,2,0,still,high,classic,the snail wine. neutral by design
sauvignon blanc,2,5,1,1,3,1,still,high,classic,
sancerre,2,5,1,1,3,0,still,high,classic,
pouilly fume,3,5,1,1,3,1,still,high,classic,
touraine,2,5,1,1,3,0,still,high,classic,
chenin blanc,3,5,1,2,3,1,still,med,classic,sweetness varies by cuvee. see vouvray rows
vouvray,3,5,1,3,3,0,still,high,classic,demi-sec. use vouvray sec for dry
savennieres,4,5,1,1,4,1,still,high,classic,
melon de bourgogne,2,5,1,1,2,0,still,high,classic,
muscadet,2,5,1,1,2,0,still,high,classic,the other artichoke-safe white
picpoul,2,5,1,1,2,0,still,high,classic,cheapest safe answer
riesling,2,5,1,2,2,0,still,med,classic,sweetness varies. alsace drier than mosel
mosel,2,5,1,3,1,0,still,high,classic,
alsace,3,4,1,1,4,0,still,high,classic,
gruner veltliner,3,4,1,1,3,0,still,high,classic,
savagnin,4,4,1,1,4,2,still,high,classic,oxidative. the morel and walnut wine
jura,4,4,1,1,4,2,still,med,classic,
pinot grigio,2,4,1,1,3,0,still,med,classic,
pinot gris,3,3,1,2,4,1,still,med,classic,alsace style is richer
vermentino,2,4,1,1,3,0,still,med,classic,
albarino,2,5,1,1,3,0,still,high,classic,
verdejo,2,4,1,1,3,0,still,med,classic,
godello,3,4,1,1,3,1,still,med,classic,
garganega,2,4,1,1,3,0,still,med,classic,
soave,2,4,1,1,3,0,still,med,classic,
arneis,2,4,1,1,3,0,still,med,classic,
cortese,2,5,1,1,3,0,still,med,classic,
friulano,3,4,1,1,3,0,still,med,classic,
ribolla gialla,3,4,2,1,3,1,skin,med,classic,often skin contact
